user_name,user_app_rating,user_review_date,company_comment_date,comment,company_answer_check
eric lee,5,2017년 3월 27일,2017년 3월 29일,잘 사용중입니다. 건의사항이 한가지 있습니다.  저는 보험사의 금융/재무 직종 취업을 생각중인데 이 직종에 보험설계사분들의 글이 너무 많아서 필요한 정보를 찾아얻기 비효율적입니다.  설계사분들은 영업/제휴 란에 작성해주시는 것이 맞슺니다. 보험업종 정보 작성시 이 부분에 대한 설명을 추가하거나 시스템상으로 명확히 분리해주시면 좋겠습니다.,answer
Chris Moon,5,2017년 3월 26일,2017년 3월 29일,정말 좋은 앱이네요ㅎㅎ 구직할 때 큰 도움이 될 것 같습니다.,answer
Google 사용자,2,2017년 3월 18일,2017년 3월 17일,회사 인사팀장이 잡플래닛 지인 통해서 아이디(이메일주소) 알아내서 누가 등록했는지 다 캐냈다.  고객정보 그리해도 되나. 어의상실. 리뷰시 필히 조심!!,answer
카레김,2,2017년 3월 13일,2017년 3월 16일,접속이 안되는데 어떻게 사용해요....,answer
Dong-Ok Kim,2,2017년 3월 8일,2017년 3월 16일,상장안되거나 듣보잡 중소기업 리뷰올리면 거절당함/ 설립마인드는 창대할지라도 결국엔 여기도 장사꾼마인드/ 나름 탈고의 고통을 느끼며 정성스레 순화하여 작성했지만 까임/ 최소한 중견기업 또는 어디서 들어본듯한 또는 알만한 기업리뷰만 가능한듯/직장인의 진솔한 이야긴 개나줘버려!/ 보나마나 좀있으면 기업들한테 후원받고 바이럴마케팅이나 하겠지..,answer
이연재,3,2017년 3월 6일,2017년 3월 10일,"연봉같은거 남자. 여자 나누어서 정보 표기해주시고, 언제 회사 리뷰 등록됬는지 년도만이라도 표기해주세요.",answer
lee hyukjae,5,2017년 3월 4일,2017년 3월 10일,좋아요~,answer
김진솔,1,2017년 2월 27일,2017년 2월 28일,로딩이 너무 안됨,answer
김영석,1,2017년 2월 25일,2017년 2월 28일,최악 비밀번호를 찾을 수 없어서 사용할 수 없음 비밀번호를 잃어버렸을 시 이메일로 확인하게 되어있는데 확인용 이메일은 날라오지도 않고  앱상에서 문의를 하려고 하니 필드를 다 채워야한다면서 넘오가지도 않음 다 채웠는데 아... 화나 이 어플 이용하려면 새아이디 만들어서 다시 리뷰를 작성해야하는건지? 참나,answer
James S,3,2017년 2월 22일,2017년 2월 28일,접속 안될때가 자주 있는 점이 불편. 지금 이 순간에도 안되고 있어 여기와서 다른 유저들도 그런가 하고 살펴보고 있음,answer
이태준,5,2017년 2월 20일,2017년 2월 28일,정말 구직자들을 위한앱입니다.,answer
kimmy kim,2,2017년 2월 18일,2017년 2월 21일,인증메일이 계속 안옵니다ㅠㅠ,answer
김종민,1,2017년 2월 17일,2017년 2월 21일,전직장 안좋게 썼더니 거절당함 ㅋㅋ 기업에 돈받냐?,answer
Seo DongMin,1,2017년 2월 14일,2017년 2월 21일,처음엔 신뢰 할만했는데.. 이젠 신뢰 못하는 앱이다. 정보 엉터리고만.. 기업에서 엉터리로 남긴건 등록되고 내가 쓴소리한건 등록안됨... 검수하긴 하는건지...,answer
왜요,5,2017년 2월 8일,2017년 2월 21일,굿굿,answer
YongGyu Kim,1,2017년 2월 6일,2017년 2월 21일,접속이 왜 맨날 안되는지...,answer
박대일,5,2017년 2월 6일,2017년 2월 22일,👍👍👍,answer
seung jeon,1,2017년 2월 3일,2017년 2월 22일,로그인 안됨,answer
Jiyoon Valentino Choi,1,2017년 1월 31일,2017년 2월 22일,접속이 계속 안되네요,answer
