user_name,user_app_rating,user_review_date,company_comment_date,user_comment,company_answer_check
권순호,1,2019년 12월 19일,no_answer,마이쿠팡 점검 언제까지 하는건가요? 앱으로 주문목록이나 상세사항을 못보고있어요.,no_answer
김영수,4,2019년 12월 19일,no_answer,ㅅㅈㅆㄷ슨 는ㆍㄴㅇㆍㅇ능ㄴㆍㅇ늕,no_answer
최오영,3,2019년 12월 18일,no_answer,제품에 상세 설명이 부족하여 아쉽네요,no_answer
Fuu Dg,5,2019년 12월 18일,no_answer,활용적,no_answer
베로니카,5,2019년 12월 18일,no_answer,굿,no_answer
김성환,5,2019년 12월 18일,no_answer,너무 좋아요,no_answer
INHWA PARK,5,2019년 12월 18일,no_answer,역시 쿠팡이죠!,no_answer
권오섭,1,2019년 12월 18일,no_answer,쿠팡에서만 오래시켰는데 탈퇴합니다 택배사가 물건 아무대나 놔서 물건훔쳐갔는데 전화했더니 택배사에전화하라고 이러지않나 사진찍어서 보내줬다고 택배사에선 우기지않나 이런 무책임한회사 물건훔쳐가서 없어져도 피해는 소비자가보니 그냥삭제합니다 탈퇴하고,no_answer
김수옥,1,2019년 12월 18일,no_answer,마이쿠팡 점검 뜨는데 언제 정상화 되나요 하루종일 점검이라 되어 있네요,no_answer
김정근,1,2019년 12월 18일,no_answer,환불처리 20일째 판매자 확인 기다리는중 문의해도 같은 대답만,no_answer
김태연,5,2019년 12월 18일,no_answer,좋음니다,no_answer
김선안,5,2019년 12월 18일,no_answer,다좋은데 너무 돈질하게 되어있음.ㅠㅠ,no_answer
서윤지TV,5,2019년 12월 18일,no_answer,오!!!!! 완전싸고 좋아요~~,no_answer
DOGYOO SEOK,5,2019년 12월 18일,no_answer,편함,no_answer
박진아,5,2019년 12월 18일,no_answer,"빠른배송,휴일에도 배송, 너무 편하고 좋아요.한번 이용하다보니 계속 이용하게 만드는 편리성이 있네요 강추!!",no_answer
최대한,1,2019년 12월 18일,no_answer,언제까지 마이쿠팡에 들어가면 서비스 점검중이라고 띄울건가요???,no_answer
단비,1,2019년 12월 18일,no_answer,마이쿠팡 어제부터 왜 안되나요?,no_answer
H Y,2,2019년 12월 18일,no_answer,잘 쓰고 있었는데 마이쿠팡(마이페이지)가 며칠째 안 들어가지네요 불편합니다,no_answer
권팔현,5,2019년 12월 18일,no_answer,좋와요,no_answer
김별림,1,2019년 12월 17일,no_answer,블루투스 이어폰을 구매했는데 블루투스에 등록했는데 한쪽만연결되고 소리도 안들리네요 다시는 이 쇼핑몰 이용안할겁니다,no_answer
흠칫,5,2019년 12월 17일,no_answer,저만그런진 모르겠는데 모바일앱으로 고객센터 문의넣을려고 하니까 어느순간부터 점검중이라고 떠서 다른작업을 못하고 있습니다. 오류좀 고쳐주십쇼,no_answer
이석규,2,2019년 12월 17일,no_answer,포털기사나 날씨앱 등 보다가 실수로 쿠팡광고 누르면 거의 후진이 안된다 또 첫화면에 뭔놈의 쓸데없는 광고 일일이 지워야지만 없어지는 미친광고를 그렇게 해대나 ~ ? 진짜 이쯤되면 한심한 쿠팡 앱개발부들 제얼굴에 침밷기고 돌았나 싶다 ~ !!,no_answer
임창식,5,2019년 12월 17일,no_answer,마음에쏙드는 상품들이 빨리 배송되어 넘좋아요,no_answer
이가영,1,2019년 12월 17일,no_answer,마이쿠팡 서비스 점검 몇시부터 몇시까지 한다는 공지도 없이 하시네요 짜증나게,no_answer
Google 사용자,5,2019년 12월 17일,no_answer,Very굿!!!!!!!! ^_^(ーー゛)(*_*)(｡ŏ﹏ŏ)(-_-)(︶^︶) →_→→_→←_←,no_answer
임지혜,1,2019년 12월 17일,no_answer,마이페이지 왜 안들어가지나요....?? 답답하네요,no_answer
C. Y. Son,5,2019년 12월 17일,no_answer,굿,no_answer
박준영,5,2019년 12월 17일,no_answer,빠르고 좋아요,no_answer
이금화,4,2019년 12월 17일,no_answer,옷이 별 로애요 받아는대 대실망 한것도 있써요 애고,no_answer
김보용,1,2019년 12월 17일,no_answer,상품 품질이 지금까지 좋은게 없어요 마지막으로 구매한 축구화가 정말 너무안좋아서 앱지워요 책임감도 전혀없고 큰돈만 날렸습니다 중국산 사지마세요.,no_answer
나선주,1,2019년 12월 17일,no_answer,전화기만 켜면 상품광고가 정신을 못차리게 하네요 가끔 구매하느라 사용하기 때문에 지우지않고는 있지만 광고가 무자비하게 뜰때는 지워버릴까도 생각을 무수히 하고 있네요 전화기 켤때마다 무자비하게 나타나는 광고 좀 자제했으면 좋겠네요 제발~ 확 지워버리기 전에 제발~,no_answer
오경원,3,2019년 12월 17일,no_answer,쿠팡 자주이용하는데요 ... 며칠전부터 마이쿠팡이 안들어가져요 .... 그래서 주문한 상품 내역도 볼수가 없고 로켓배송이 아닌 일반배송 상품 언제 배송되는지 확인이 안돼요 갤럭시 온프라임7 입니다 고객센터 문의해도 기다리라는 답변 밖에 없네요,no_answer
김성윤,5,2019년 12월 17일,no_answer,굳,no_answer
